Question,Answer(s)
"[<div class=""qaDetailsContent"">
judgement against me 6 years ago no payments or garnishments asked to be made never heard from party afterwards
</div>, <div class=""small-12 columns qaDetailsContent"">
Typically in a refinance transaction, a title company representative will be there to clear all title issues. Since you say that it comes up on title the title company will contact the judgement creditor and obtain a payoff letter and release of lien. You will be able to complete the refinance but this will have to be paid out of the proceeds. Make sure you borrow enough to cover all costs and expenses so there is no ""out of pocket"" cost to you.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Typically in a refinance transaction, a title company representative will be there to clear all title issues. Since you say that it comes up on title the title company will contact the judgement creditor and obtain a payoff letter and release of lien. You will be able to complete the refinance but this will have to be paid out of the proceeds. Make sure you borrow enough to cover all costs and expenses so there is no ""out of pocket"" cost to you.
</div>]"
"[<div class=""qaDetailsContent"">
A c of o is for property that is being rented .  I live in a home and do not rent .
City demands to go inside and look for violations but I'm the only one living there .
</div>, <div class=""small-12 columns qaDetailsContent"">
Regardless of who is living in the property, the City always has the right to inspect for violations.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Regardless of who is living in the property, the City always has the right to inspect for violations.
</div>]"
"[<div class=""qaDetailsContent"">
miom deeded her home to 6. How to change to reflect 7 owners on house
</div>, <div class=""small-12 columns qaDetailsContent"">
Have the five who now have title convey the deed to all 6
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Have the five who now have title convey the deed to all 6
</div>]"
"[<div class=""qaDetailsContent"">
the town sold the road I live on to a private party , they tore the road out and crushed my home and possesions , they dumped tons of junk from their adjoing property on me. the town has now convicted me of code violations ( mainly junk accumulation ). I have now been listed as VACANT and LANDLOCKED . Also the town has had the power lines removed from the poles on what used to be the road. I have appealed the code violation conviction but have had to rely on the process to follow from another county court . It has become obvious that the town is conspireing with the new owner to grab this property . Any help would be great .
</div>, <div class=""small-12 columns qaDetailsContent"">
The first thing to do is to stop representing yourself. You need to engage counsel NOW.
Gerry Wendrovsky, Esq.- Upper West Side Real Estate Lawyer
www.upperwestsidelawyer.com
</div>]","[<div class=""small-12 columns qaDetailsContent"">
The first thing to do is to stop representing yourself. You need to engage counsel NOW.
Gerry Wendrovsky, Esq.- Upper West Side Real Estate Lawyer
www.upperwestsidelawyer.com
</div>]"
"[<div class=""qaDetailsContent"">
A relative of mine owns an apartment in New York City that she acquired a number of years ago as payment in satisfaction of a debt owed to her. The apartment was, and still is, occupied by a tenant under a rent stabilized lease. She has tried to cancel the lease in the past but has not been successful. I recently with a Real Estate Professional in NYC and he advised me that if she moves into the apartment and the premises are no longer used as rental property, she can evict the tenant. I was told that the specific term for this is ""Gallop Notice for Eviction of Rent Control Unit"". I have researched the term both in Google and in the NYC Rent Guidelines website, but neither search produces results. Where can I find out more information on this subject?
</div>, <div class=""small-12 columns qaDetailsContent"">
 
The term is 'Golub notice', and is a combined notice required to be served in connection with holdover proceedings premised upon the non-primary residence of a tenant. This notice is always prepared by a qualified landlord-tenant attorney, and its specific draftsmanship and service should not be attempted by a non-lawyer, as the tenancy is highly regulated. Your relative should retain qualified counsel, if the intent is to terminate the lease of the tenant.
Gerry Wendrovsky, Esq.- Upper West Side Landlord-Tenant Lawyer
www.upperwestsidelawyer.com
 
</div>]","[<div class=""small-12 columns qaDetailsContent"">
 
The term is 'Golub notice', and is a combined notice required to be served in connection with holdover proceedings premised upon the non-primary residence of a tenant. This notice is always prepared by a qualified landlord-tenant attorney, and its specific draftsmanship and service should not be attempted by a non-lawyer, as the tenancy is highly regulated. Your relative should retain qualified counsel, if the intent is to terminate the lease of the tenant.
Gerry Wendrovsky, Esq.- Upper West Side Landlord-Tenant Lawyer
www.upperwestsidelawyer.com
 
</div>]"
"[<div class=""qaDetailsContent"">
When the fence was put up it was with the understanding it would be removed when and if he sold
</div>, <div class=""small-12 columns qaDetailsContent"">
You may be trespassing if you remove the fence. By allowing him to keep the fence on your property, he may have acquired title to that portion of the property, based on the doctrine of 'adverse possession'. You should consult with qualified counsel, before doing anything.
Gerry Wendrovsky, Esq.- Upper West Side Real Estate Lawyer
www.upperwestsidelawyer.com
</div>]","[<div class=""small-12 columns qaDetailsContent"">
You may be trespassing if you remove the fence. By allowing him to keep the fence on your property, he may have acquired title to that portion of the property, based on the doctrine of 'adverse possession'. You should consult with qualified counsel, before doing anything.
Gerry Wendrovsky, Esq.- Upper West Side Real Estate Lawyer
www.upperwestsidelawyer.com
</div>]"
"[<div class=""qaDetailsContent"">
I put money towards buying a land together with contract but the check was not cashed. Why?
</div>, <div class=""small-12 columns qaDetailsContent"">
The seller does not want the deal.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
The seller does not want the deal.
</div>]"
"[<div class=""qaDetailsContent"">
The man I purchased this house from is guilty of mortgage fraud. The house had no COO at time of purchase. It had open violations. It was not inspected by the city. It is not up to code. There was no appraisal report. The man grossly marked up the price of this house for purchase without out doing any substantial work to the house. How did the bank approve the loan for this house without these documents and with open violations on the house? Is that legal? What are my legal options?
</div>, <div class=""small-12 columns qaDetailsContent"">
More importantly, where was your attorney in all of this? If you did not have an attorney and let one person handle the closing, then you will have to pay a significant amount of money to engage an attorney to bring suit.
Gerry Wendrovsky, Esq.- Upper West Side Real Estate Lawyer
www.upperwestsidelawyer.com
</div>]","[<div class=""small-12 columns qaDetailsContent"">
More importantly, where was your attorney in all of this? If you did not have an attorney and let one person handle the closing, then you will have to pay a significant amount of money to engage an attorney to bring suit.
Gerry Wendrovsky, Esq.- Upper West Side Real Estate Lawyer
www.upperwestsidelawyer.com
</div>]"
"[<div class=""qaDetailsContent"">
The seller gave me a time of the essence closing date (which will be Monday July, 22th). He did not provide yet all the documents he has to in order to close. I provide all I have to in order to close. My loan contingency date has passed. Should I get my deposit money back if we can't close on Monday, July 22th because of the seller?
</div>, <div class=""small-12 columns qaDetailsContent"">
This is a question your attorney should be answering, and if you do not have an attorney, get one quickly!
Gerry Wendrovsky, Esq.- Upper West Side real Estate Lawyer
www.upperwestsidelawyer.com
</div>]","[<div class=""small-12 columns qaDetailsContent"">
This is a question your attorney should be answering, and if you do not have an attorney, get one quickly!
Gerry Wendrovsky, Esq.- Upper West Side real Estate Lawyer
www.upperwestsidelawyer.com
</div>]"
"[<div class=""qaDetailsContent"">
Boyfriend and girlfriend broke up and the boyfriend moved out and refuses to pay his share of rent. The remaining two tenants think that I have to get his share of the rent and I told them they would still have to pay the full rent regardless. am I right?
</div>, <div class=""small-12 columns qaDetailsContent"">
This would depend on the terms of the rental agreement or lease, on the number of rooms, the location of the residence, and the type of setting (rent or house). You should consult with qualified counsel.
Gerry Wendrovsky, Esq.- Upper West Side Tenant Lawyer
www.upperwestsidelawyer.com
</div>]","[<div class=""small-12 columns qaDetailsContent"">
This would depend on the terms of the rental agreement or lease, on the number of rooms, the location of the residence, and the type of setting (rent or house). You should consult with qualified counsel.
Gerry Wendrovsky, Esq.- Upper West Side Tenant Lawyer
www.upperwestsidelawyer.com
</div>]"
"[<div class=""qaDetailsContent"">
I've got a real estate closing this week I'm not confident with my Iawyer, There is no bank involved because I'm paying all cash This is in the New York State, New York City I'm coming in with certified funds for the purchase What I want to know is what documents will I received at closing to make sure that I bought the property properly What documents should I leave the closing with? What proof will I have that I bought the property properly and everything is ok and that now I am the rightful owner
</div>, <div class=""small-12 columns qaDetailsContent"">
When you buy real estate in New York, the only thing that proves you own it is a deed, which is a document signed by the owner saying that they are transfer it to you.  That deed is then recorded in the County Clerk's office, and this allows the world to see that you are the owner.  It is recorded on the properties block and lot, which is a unique designation identifying that piece of real estate.
Though this is simple, there is one other item which you should have.  Any one purchasing real estate in New York State should also have a title insurance company insure you that you have good and marketable title.  This may cost you extra money, but it's worth it, since before they issue the insurance (and before you purchase it), the do a ""title search"" which discloses any title defects (and other useful information).
With a deed (properly recorded) and a title insurance policy, you should feel comfortable that your title is ""good"".
</div>]","[<div class=""small-12 columns qaDetailsContent"">
When you buy real estate in New York, the only thing that proves you own it is a deed, which is a document signed by the owner saying that they are transfer it to you.  That deed is then recorded in the County Clerk's office, and this allows the world to see that you are the owner.  It is recorded on the properties block and lot, which is a unique designation identifying that piece of real estate.
Though this is simple, there is one other item which you should have.  Any one purchasing real estate in New York State should also have a title insurance company insure you that you have good and marketable title.  This may cost you extra money, but it's worth it, since before they issue the insurance (and before you purchase it), the do a ""title search"" which discloses any title defects (and other useful information).
With a deed (properly recorded) and a title insurance policy, you should feel comfortable that your title is ""good"".
</div>]"
"[<div class=""qaDetailsContent"">
Our close relatives have passed away and before they did we had plans to purchase their home from them when they went to a nursing home. The home had been in disrepair for some time and we had to put a lot of money into it just to make it livable. They passed away before any papers were signed. The estate owes money to NYS, far more than the house is worth. The house is the only asset the estate has. There are still several issues with the house including broken windows, foundation, no insulation, among several other things. We are working on getting more accurate appraisal right now. There is no lein on the house and another close relative of ours is the executor of the estate which has a lawyer but not a helpful one. Right now the house is sitting and accruing back taxes. We are not sure how much would be a reasonable amount to possibly offer the state for the house or if that should be the best route to take in this situation. What are some options we have to move forward?
</div>, <div class=""small-12 columns qaDetailsContent"">
With no papers, you have to have the agreement with the estate to buy it.  But no one has to sell it to you.  File a claim for the money you put it against the estate, which might give you leverage.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
With no papers, you have to have the agreement with the estate to buy it.  But no one has to sell it to you.  File a claim for the money you put it against the estate, which might give you leverage.
</div>]"
"[<div class=""qaDetailsContent"">
my brother added my sister's name on the deed years back and he wanted that way, because wife already has 3 houses on her name. a lawsuit from a tenant which had lived in 1 of the apartment of the house in ???, lawsuit has both my sister's + wife's name. wife wants my sister to sign deed over to her, so wife could own all 4 houses + wife wants to take care the lawsuit alone. my sister own a house her own home but reluctant to sign over the deed because their is a pending lawsuit + sister will lose her share of that house. the house insurance company assigned a lawyer to represent wife n the lawyer wants my sister to join in + to remove my sister's name from deed. the lawyer told my sister join in or the insurance company will cover her in the lawsuit. 1:should my sister sign over the deed n get it over with or should sister stay on the deed and fight the lawsuit + her share of the estate? 2:how does sister get her share of the estate form this entangled web?. 3:marriage is ?/not sure
</div>, <div class=""small-12 columns qaDetailsContent"">
The deed and the suit are unrelated.  Something is not right here, but you have not posted enough information to give advice.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
The deed and the suit are unrelated.  Something is not right here, but you have not posted enough information to give advice.
</div>]"
"[<div class=""qaDetailsContent"">
Taxes paid (all thought my mortgage co ) I will be closing the end of July , however my taxes have been paid to the end of the year. I feel I am entitled to a refund from the mortgage co. -I am receiving conflicting information. Please advise. Thank you
</div>, <div class=""small-12 columns qaDetailsContent"">
It depends if this is a short sale or not.  In a short sale, you will not get back a refund.  In a regular closing, you will get a refund from the buyer if the taxes were paid to the town.  If just in escrow, you will get a refund of any escrow surplus once the bank takes its payoff.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
It depends if this is a short sale or not.  In a short sale, you will not get back a refund.  In a regular closing, you will get a refund from the buyer if the taxes were paid to the town.  If just in escrow, you will get a refund of any escrow surplus once the bank takes its payoff.
</div>]"
"[<div class=""qaDetailsContent"">
I recently refinanced my home and the loan closed and was funded. My old mortgage was paid off and closed. The new bank states the refinance should not have closed and is threatening to terminate my loan. All paperwork was signed and I have always made my payments on time. Can the bank lawfully terminate my refinance mortgage? The bank offered to pay for repair and sent a technician to evaluate the repair. I believe the cost to repair is too expensive to the bank and they stated I have to have the repairs performed and pay for them out of my own pocket. The issues were not a problem with my prior bank and had I known this was going to be a problem I would not have refinanced. I am worried I will loose my home.
</div>, <div class=""small-12 columns qaDetailsContent"">
Talk to a lawyer. If you represented you would do something, and did not, that could be a problem.  If the bank erred, you should be OK.  Is it an FHA loan?
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Talk to a lawyer. If you represented you would do something, and did not, that could be a problem.  If the bank erred, you should be OK.  Is it an FHA loan?
</div>]"
"[<div class=""qaDetailsContent"">
We are in a tight budget and we would like to know what to look for when to hire a home inspector. Thank you.
</div>, <div class=""small-12 columns qaDetailsContent"">
As a general matter, all deals in New York state are ""as is"", so this is nothing special.  Use a home inspector that is not affiliated with anyone else in the deal, like the broker.  Also, use an inspector that is just a home inspector, and not a contractor.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
As a general matter, all deals in New York state are ""as is"", so this is nothing special.  Use a home inspector that is not affiliated with anyone else in the deal, like the broker.  Also, use an inspector that is just a home inspector, and not a contractor.
</div>]"
"[<div class=""qaDetailsContent"">
I put the offer for short sale property in October 2012. June 13 i called my lawyer and ask him if i can walk away without any consequences. My contract expired February. His secretary said she will call me back. Never happened. June 14 my real estate agent txt me and told me i have verbal approval and now i have to wait for written one. Do i still can walk away or in that situation i have to go with this. I don't want the seller keep my down payment. Thank you
</div>, <div class=""small-12 columns qaDetailsContent"">
It is governed by your contract.  It depends what it says.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
It is governed by your contract.  It depends what it says.
</div>]"
"[<div class=""qaDetailsContent"">
What problems do you foresee at closing or to switch the deed over
</div>, <div class=""small-12 columns qaDetailsContent"">
To get the best rate, do a contract from your father and aunt to your father, and do the loan as a new purchase money mortgage.  I can handle this for $1500 if you want.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
To get the best rate, do a contract from your father and aunt to your father, and do the loan as a new purchase money mortgage.  I can handle this for $1500 if you want.
</div>]"
"[<div class=""qaDetailsContent"">
How long can i stay there.I have two children 
</div>, <div class=""small-12 columns qaDetailsContent"">
This is more complex than you might imagine.  First, do not pay rent to the landlord, but contact the bank doing the case about rent.  Second, the answer turns in part on whether you have a lease.  Finally, the answer turns on where you are located.  NYC has different procedures.  For now, you can stay put.  But, you need to monitor the case.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
This is more complex than you might imagine.  First, do not pay rent to the landlord, but contact the bank doing the case about rent.  Second, the answer turns in part on whether you have a lease.  Finally, the answer turns on where you are located.  NYC has different procedures.  For now, you can stay put.  But, you need to monitor the case.
</div>]"
"[<div class=""qaDetailsContent"">
If a husband and wife buys a home and the husband paid most of the home, but the home is under the wife's name, and the husband agrees. So the home property solely belongs to the wife? If they divorce, the home/property only belongs to the wife or to both of them?
</div>, <div class=""small-12 columns qaDetailsContent"">
The property will be subject to equitable distribution.  There is no community property in NY.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
The property will be subject to equitable distribution.  There is no community property in NY.
</div>]"
[],[]
"[<div class=""qaDetailsContent"">
My spouse bought the house in 1999 he is the only one on the deed, in 2004 we refinanced (persuaded by Primerica that it would be better after coming to find out it wasn't) so now my name is on the head of the mortgage and him as co-signer, but my spouse invol surrendered his new truck and they put a lien on the property against him unknowingly. When I called my mortgage company (which I paid ontime since 2004, ($57000 at 9 1/2% interest) to refinance to get a lower interest rate they told me I couldn't do so as there was a $20000 lien placed on the property on him due to NYS law. Now we are in a middle of divorcing and I feel as if it's entrapment. I was advised to make sure on the divorce papers to make sure it states he is responsible for the lien and half of the mortgage. What are my options? Please help.
</div>, <div class=""small-12 columns qaDetailsContent"">
While as between you and him in the divorce case, you can get him to pay the lien, as between you and the bank with the lien, the lien is on the property, and will not come off.  There is nothing you can do about that.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
While as between you and him in the divorce case, you can get him to pay the lien, as between you and the bank with the lien, the lien is on the property, and will not come off.  There is nothing you can do about that.
</div>]"
"[<div class=""qaDetailsContent"">
N/A
</div>, <div class=""small-12 columns qaDetailsContent"">
No.  You can in theory keep the deposit by notifying the buyer of the default.  But, sometimes it is just better to move on to the next deal.  Your lawyer should be able to navigate this.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
No.  You can in theory keep the deposit by notifying the buyer of the default.  But, sometimes it is just better to move on to the next deal.  Your lawyer should be able to navigate this.
</div>]"
"[<div class=""qaDetailsContent"">
I am setting up a off shore joint venture with a Chinese Real Estate company, is there a requirement or labor law that dictates the labor split for domestic workers and foreign workers that I can hire? I want to maximize cheap foreign labor and perhaps apply for temporary work visa for the Chinese labors. Please advise. Thank you!
</div>, <div class=""small-12 columns qaDetailsContent"">
Foreigners legally working here are governed by local labor laws.  Thus, the residency of the worker does not let you exploit anyone.  You need a lawyer to navigate these issues.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Foreigners legally working here are governed by local labor laws.  Thus, the residency of the worker does not let you exploit anyone.  You need a lawyer to navigate these issues.
</div>]"
"[<div class=""qaDetailsContent"">
I am buying a home for a friend with awful credit and will like to know how long after all the paper work is done I may sign over the house to her and get it under her name?
</div>, <div class=""small-12 columns qaDetailsContent"">
Probably never.  This is one of the dumbest ideas you have ever had, and unless you really, really like the person and want to carry their debt for life, do not do it.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Probably never.  This is one of the dumbest ideas you have ever had, and unless you really, really like the person and want to carry their debt for life, do not do it.
</div>]"
"[<div class=""qaDetailsContent"">
To protect the house when I first bought it and for the much better mortgage rate, we put the house in my parents name and they took out a refinance on their house to buy my house outright. I pay all taxes and refinance payment since day 1. This was done in May of 2004. Now that my marriage is great and I have kids, I want to put house in me and wifes name and take a mortgage out for what is owed on it still. My question is do I have to ""buy"" house from them? Can I somehow do it so the payments I have made to them for the refinance look as a downpayment? I would like to avoid the 15-20+ thousand downpayment and closing costs. Plus if I buy the house from them for what they still owe on refinance, this will look like they are giving me house for below marke (about $100,000 below). I know I need a lawyer to do this, but have no idea how much this is gonna cost me and how to start. Thanks.
</div>, <div class=""small-12 columns qaDetailsContent"">
You have not answered the most critical issue -- do your parents consent, and what do they want.  With their consent you can do anything.  Without it, you can do very little.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
You have not answered the most critical issue -- do your parents consent, and what do they want.  With their consent you can do anything.  Without it, you can do very little.
</div>]"
"[<div class=""qaDetailsContent"">
My brother enlaw ownes the two family house I live in. He lives on the first floor I live on the second with my family and his mother. We have never paid rent and we do not have a lease. He is sell the house. What are my righrts?
</div>, <div class=""small-12 columns qaDetailsContent"">
You have no rights.  You would have to move.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
You have no rights.  You would have to move.
</div>]"
"[<div class=""qaDetailsContent"">
I am in contract for buying a house, and the house has an above ground pool.
I had doubt if the pool was legal or not, so I asked the realtor. First I was told that the pool
was on the title when the current owner purchased the house, now I am told that the pool is a
violation of the building department code so it has to be removed. When I went to see the house, the brochure had the
pool listed as a feature. I offered the price thinking the pool was legal, and now they want to remove 
the pool; but I want the pool or a reduction of price,  so what can I do?
</div>, <div class=""small-12 columns qaDetailsContent"">
Assuming your contract is the usual form, you can get out of the deal with no penalty, or take the house with the pool knowing it is not legal.  You cannot force a price reduction without an agreement.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Assuming your contract is the usual form, you can get out of the deal with no penalty, or take the house with the pool knowing it is not legal.  You cannot force a price reduction without an agreement.
</div>]"
"[<div class=""qaDetailsContent"">
Received a 1099 without foreclosure dated May 2012. My name is still on as titled owner. Do I still own the house after a non-foreclosure foregiveness of debt from the mortgage company?
</div>, <div class=""small-12 columns qaDetailsContent"">
No one could know what you did.  Usually, when debt is foregiven, you deed the property to the bank, and do not own it.  Check with the county clerk and the property records.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
No one could know what you did.  Usually, when debt is foregiven, you deed the property to the bank, and do not own it.  Check with the county clerk and the property records.
</div>]"
"[<div class=""qaDetailsContent"">
my ex boyfriend and I bought a house together through a company that gets people with bad credit into a house. I paid a down payment through the course of the first year with a land contract for the first year, and then opted to buy after the first year. Then after 3 years him and I split up so I moved out an let him keep the house because he had a better job. The house remained in both our names even though I didn't live there, but just recently he lost his job and he did not contact me to see if I wanted the house he just gave the house back to the company that we were purchasing it from and they took it back and they are now selling it when I never signed anything to take it out of my name. Do they have the right to sell the house when it's still in my name? It just seems to me that someone broke the law somewhere.
</div>, <div class=""small-12 columns qaDetailsContent"">
No they do not.  You are right, someone did likely sign your name to some agreement or a deed.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
No they do not.  You are right, someone did likely sign your name to some agreement or a deed.
</div>]"
"[<div class=""qaDetailsContent"">
I hired a loan modification team and I'm concerned I think I'm in the final stages of the loan mod process and they ask for a good faith payment to the lender I sent the payment.I don't rember the terms they said and the new interest rate .I would like this info for my records and I asked for a copy and I haven't heard back yet .can I get a copy of what they negotiated on my behave. 
</div>, <div class=""small-12 columns qaDetailsContent"">
Honestly, this sounds like to me you were scammed, and they just took your money.  This is not how the process works.  Call the DA in your county.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Honestly, this sounds like to me you were scammed, and they just took your money.  This is not how the process works.  Call the DA in your county.
</div>]"
"[<div class=""qaDetailsContent"">
My wife and I, her mother and father, and her brother and now ex-wife all invested into a horse farm. The brother had horrible credit at the time so he was not listed on mortgage. He was also not listed on deed/title of the house. I was kicked out of the house 5 years ago and the house was appraised at $1,000,000. They never paid me out for my portion of the house. The house was now appraised recently at $900,000. I am filing under the Partition Act to have the house sold as they will not pay me out my portion and they can not afford the house. they have been borrowing from the 2nd mortgage to pay the 1st for the last 23 months. The amount owing in 5 years has actually increased. My question is, if the forced sale goes through does the equity in the house get split between only those on the deed or would the brother-in-law be included as well. Again, no name on mortgage, no name on deed and no promissory or legal notes ever made. BUT he did invest.
</div>, <div class=""small-12 columns qaDetailsContent"">
I hope you are using a lawyer for this partition case.  The issues you raise are actually not so easy.  Partition is an equitable action, so a court could impute the share of your brother in law.  However, not being on the deed is without more court rulings, a cause not to give him a share.  As he will raise this issue at some point, you really need to present this to the court the right way.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
I hope you are using a lawyer for this partition case.  The issues you raise are actually not so easy.  Partition is an equitable action, so a court could impute the share of your brother in law.  However, not being on the deed is without more court rulings, a cause not to give him a share.  As he will raise this issue at some point, you really need to present this to the court the right way.
</div>]"
"[<div class=""qaDetailsContent"">
As an estate administrator, I am selling a relative's home to settle the estate. The contract was drawn up and signed. I had the property appraised by a reputable business. Now the buyer has decided he only wants to pay 70% of that price. This is a cash deal and not going through a lending agency. Anxious to get this settled, I asked the estate attorney if that was a good idea to accept the lower offer and if there would be any legal trouble for me down the road if I agreed to sell for the reduced price. He said that as the fiduciary of the estate, he could not advise me on that since it was up to me to make that decision whether to sell for less or not. In addition, if there were issues in the future resultant from doing this, he could not help me. Is this normal legal practice in the U.S.?
</div>, <div class=""small-12 columns qaDetailsContent"">
Here is the deal.  You are selling for below market value, based on your appraisal.  As a fiduciary, you have personal liability for failing to exercise business judgment, like selling for market value.  Since you have no broker or multiple listing, there is no check on the market value.  Accordingly, that is the risk.  To cover yourself, you need to paper why you are taking a lower price, or get a pre-approval from the beneficiaries.  The attorney should help you here.  I am not sure why he is scared of this.  This is not normal, and this is why you have an attorney -- to navigate these kinds of pitfalls, which happen all the time.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Here is the deal.  You are selling for below market value, based on your appraisal.  As a fiduciary, you have personal liability for failing to exercise business judgment, like selling for market value.  Since you have no broker or multiple listing, there is no check on the market value.  Accordingly, that is the risk.  To cover yourself, you need to paper why you are taking a lower price, or get a pre-approval from the beneficiaries.  The attorney should help you here.  I am not sure why he is scared of this.  This is not normal, and this is why you have an attorney -- to navigate these kinds of pitfalls, which happen all the time.
</div>]"
"[<div class=""qaDetailsContent"">
We are looking to sell the house. Our mother lived there under a life lease,until her demise last year. She paid all the bills while she lived there. The one sister has lived there her entire life. The property is in all four sisters names on the deed. How do we go about getting the one out and selling the property.
</div>, <div class=""small-12 columns qaDetailsContent"">
A partition action must vibe brought to compel the sale of the house. You may contact my office to represent you in this matter.
 
</div>]","[<div class=""small-12 columns qaDetailsContent"">
A partition action must vibe brought to compel the sale of the house. You may contact my office to represent you in this matter.
 
</div>]"
"[<div class=""qaDetailsContent"">
Hello. Can I convert a two car separate garage I have for living space? I will not be renting it. Just for an immediate family member. Do I need to legally convert or can I just convert it without fearing violations for New York City? Thank you very much in advance for your help.
</div>, <div class=""small-12 columns qaDetailsContent"">
A garage is not for living space. It's use is governed by the certificate of occupancy issued when it was built. You would have to hire an architect to determine if it could be legally converted to living space.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
A garage is not for living space. It's use is governed by the certificate of occupancy issued when it was built. You would have to hire an architect to determine if it could be legally converted to living space.
</div>]"
"[<div class=""qaDetailsContent"">
I have to sell a relative's home to settle an estate. We know there is a judgment against it for credit card debt. I had a buyer lined up and believed estate's attorney was working to obtain a clear title. Months have gone by and the buyer is called me and asked why we haven't set a closing date. When I contacted the attorney and inquired if he was working on settling the lien, he said that as soon as I pay the debt, I can sell the property. The judgment is more than the estate value. I believe the attorney should be working to get the judgment excused. What should I do?
</div>, <div class=""small-12 columns qaDetailsContent"">
The way to resolve the issue is by paying the creditor. Then the creditor will supply a satisfaction of lien. Does the estate attorney have the funds in the estate account to pay the lien?
 
</div>]","[<div class=""small-12 columns qaDetailsContent"">
The way to resolve the issue is by paying the creditor. Then the creditor will supply a satisfaction of lien. Does the estate attorney have the funds in the estate account to pay the lien?
 
</div>]"
"[<div class=""qaDetailsContent"">
I purchased my home 9 years ago, on the side of my house there is a dirt driveway to the people behind me. I find out that the dirt driveway is part of my property (these people are not land lock) but told me we had a easement. in good faith I let them drive on it. they drive very fast up the drive way I have asked them to slow down, I now have a 2 year old. I ended up putting a fence up , not blocking the driveway but just so my son does not run into it while playing. they went off on me.so now we are fighting. I pulled the deeds on their property and mine going back to 1917. and I dont see anything about easements. is that enough proof to get them off my land? or do I need the Title and survey. oh the survey does show the easement on it and I am not sure why - that is something else I need to research. thank you in advace for your help. I hope I explained my self .
</div>, <div class=""small-12 columns qaDetailsContent"">
Easements are interests in property and pass on from owner to owner. When you purchased your property your attorney undoubted had a title search performed and you purchased title insurance. As part of this search, they would have had to reveal any recorded easements that burden your land. I recommend that you contact that company and inquire with them if there is a recorded easement. Because you tell me that you see it on the survey would indicate that there is in fact an easement. If one does exist you cannot block ingress and egress to it. If the fence you installed does not limit the use of this easement then the fence can stay.    
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Easements are interests in property and pass on from owner to owner. When you purchased your property your attorney undoubted had a title search performed and you purchased title insurance. As part of this search, they would have had to reveal any recorded easements that burden your land. I recommend that you contact that company and inquire with them if there is a recorded easement. Because you tell me that you see it on the survey would indicate that there is in fact an easement. If one does exist you cannot block ingress and egress to it. If the fence you installed does not limit the use of this easement then the fence can stay.    
</div>]"
"[<div class=""qaDetailsContent"">
N/A
</div>, <div class=""small-12 columns qaDetailsContent"">
Not necessarily. You should classify the transfer as an interfamily transfer for No consideration on the ACRIS transfer documents. Since the transfer tax is a percentage of the consideration there should be no tax. The ACRIS documents are now required to record the deed. Most likely you will need either a lawyer to do the transfer or a title company since you will not have access to the ACRIS system.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Not necessarily. You should classify the transfer as an interfamily transfer for No consideration on the ACRIS transfer documents. Since the transfer tax is a percentage of the consideration there should be no tax. The ACRIS documents are now required to record the deed. Most likely you will need either a lawyer to do the transfer or a title company since you will not have access to the ACRIS system.
</div>]"
